timestamp,latitude,longitude,altitude,speed
1728201790.300000,46.9292097,7.1188771,,0.03
1728201790.400000,46.929208,7.1188812,,0.073
1728201790.500000,46.9292056,7.1188868,,0.079
1728201790.600000,46.9292035,7.1188915,,0.096
1728201790.700000,46.9292007,7.1188982,,0.079
1728201790.800000,46.9291986,7.1189024,,0.058
1728201790.900000,46.9291969,7.1189063,,0.056
1728201791.000000,46.9291952,7.1189102,,0.019
1728201791.100000,46.9291932,7.1189141,,0.031
1728201791.200000,46.9291907,7.1189187,530.78,0.05
1728201791.300000,46.9291899,7.1189205,,0.049
1728201791.400000,46.9291902,7.1189209,,0.056
1728201791.500000,46.9291893,7.1189226,,0.04
1728201791.600000,46.9291889,7.1189237,,0.019
1728201791.700000,46.9291891,7.1189241,,0.049
1728201791.800000,46.9291882,7.1189262,,0.017
1728201791.900000,46.9291864,7.1189298,,0.026
1728201792.000000,46.9291848,7.1189329,,0.069
1728201792.100000,46.9291839,7.1189345,,0.021
1728201792.200000,46.9291831,7.118936,522.839,0.033
1728201792.300000,46.9291819,7.1189378,,0.023
1728201792.400000,46.9291806,7.11894,,0.067
1728201792.500000,46.9291789,7.1189431,,0.091
1728201792.600000,46.9291773,7.1189454,,0.058
1728201792.700000,46.9291762,7.1189473,,0.025
1728201792.800000,46.929175,7.1189494,,0.072
1728201792.900000,46.9291731,7.1189529,,0.08
1728201793.000000,46.9291721,7.1189548,,0.061
1728201793.100000,46.929171,7.1189566,,0.045
1728201793.200000,46.9291703,7.1189582,519.829,0.057
1728201793.300000,46.9291701,7.1189585,,0.062
1728201793.400000,46.9291671,7.1189631,,0.025
1728201793.500000,46.9291649,7.1189668,,0.031
1728201793.600000,46.9291646,7.1189671,,0.009
1728201793.700000,46.9291646,7.1189672,,0.007
1728201793.800000,46.9291635,7.1189689,,0.01
1728201793.900000,46.929161,7.1189736,,0.024
1728201794.000000,46.9291593,7.1189768,,0.031
1728201794.100000,46.9291574,7.1189801,,0.04
1728201794.200000,46.9291557,7.1189826,517.027,0.069
1728201794.300000,46.9291546,7.1189849,,0.032
1728201794.400000,46.9291539,7.1189864,,0.079
1728201794.500000,46.929152,7.1189894,,0.036
1728201794.600000,46.9291496,7.1189939,,0.04
1728201794.700000,46.9291471,7.1189985,,0.037
1728201794.800000,46.9291454,7.1190016,,0.076
1728201794.900000,46.9291437,7.1190047,,0.037
1728201795.000000,46.9291414,7.1190086,,0.045
1728201795.100000,46.9291395,7.1190122,,0.016
1728201795.200000,46.9291378,7.1190152,513.156,0.01
1728201795.300000,46.9291364,7.1190178,,0.022
1728201795.400000,46.9291359,7.119019,,0.008
1728201795.500000,46.9291354,7.1190202,,0.036
1728201795.600000,46.9291348,7.1190215,,0.006
1728201795.700000,46.929135,7.1190213,,0.015
1728201795.800000,46.9291351,7.119021,,0.039
1728201795.900000,46.9291353,7.119021,,0.016
1728201796.000000,46.9291354,7.1190209,,0.029
1728201796.100000,46.9291353,7.1190214,,0.046
1728201796.200000,46.9291349,7.119022,507.572,0.035
1728201796.300000,46.9291344,7.1190231,,0.04
1728201796.400000,46.9291336,7.1190241,,0.087
1728201796.500000,46.9291333,7.119025,,0.059
1728201796.600000,46.9291329,7.1190256,,0.015
1728201796.700000,46.9291331,7.1190254,,0.046
1728201796.800000,46.929133,7.1190255,,0.051
1728201796.900000,46.9291329,7.1190255,,0.028
1728201797.000000,46.9291327,7.1190257,,0.031
1728201797.100000,46.9291326,7.1190262,,0.056
1728201797.200000,46.9291325,7.1190261,506.65,0.074
